Burst_Name,Burst_PNG,Simple,Extended,Other,Too_Noisy,Follow
GRB041217,GRB041217_100116.png,15,3,1,0,"[13, 5, 2, 0, 0, 0]"
GRB041219C,GRB041219C_100380.png,16,5,2,2,"[9, 12, 1, 0, 2, 4]"
GRB041220,GRB041220_100433.png,13,1,2,0,"[11, 5, 0, 0, 0, 0]"
GRB041223,GRB041223_100585.png,6,15,25,3,"[12, 13, 38, 0, 2, 5]"
GRB041224,GRB041224_100703.png,2,5,16,0,"[13, 9, 14, 0, 1, 2]"
GRB041226,GRB041226_100815.png,24,5,10,2,"[24, 3, 11, 0, 2, 4]"
GRB041228,GRB041228_100970.png,9,20,19,2,"[9, 21, 18, 0, 3, 5]"
GRB050117,GRB050117_102861.png,0,3,12,0,"[8, 3, 12, 0, 0, 0]"
GRB050124,GRB050124_103647.png,18,6,2,0,"[10, 11, 4, 0, 3, 3]"
GRB050126,GRB050126_103780.png,15,19,9,3,"[6, 27, 16, 0, 3, 6]"
GRB050128,GRB050128_103906.png,7,10,21,4,"[10, 5, 24, 0, 3, 8]"
GRB050202,GRB050202_104298.png,25,0,20,8,"[25, 4, 0, 0, 16, 25]"
GRB050215A,GRB050215A_106106.png,7,20,15,13,"[16, 2, 20, 0, 9, 23]"
GRB050215B,GRB050215B_106107.png,24,14,5,2,"[16, 21, 11, 0, 3, 5]"
GRB050219A,GRB050219A_106415.png,29,4,9,2,"[27, 5, 15, 0, 1, 4]"
GRB050219B,GRB050219B_106442.png,31,6,12,1,"[30, 6, 16, 0, 2, 3]"
GRB050223,GRB050223_106709.png,10,12,22,5,"[17, 7, 23, 0, 7, 12]"
GRB050306,GRB050306_107547.png,1,4,16,5,"[4, 5, 18, 0, 0, 5]"
GRB050315,GRB050315_111063.png,14,10,20,5,"[17, 16, 31, 0, 2, 7]"
GRB050318,GRB050318_111529.png,1,2,14,0,"[7, 5, 7, 0, 1, 2]"
GRB050319,GRB050319_111622.png,1,4,16,2,"[3, 9, 13, 0, 1, 3]"
GRB050326,GRB050326_112453.png,1,3,18,0,"[8, 11, 13, 0, 0, 0]"
GRB050401,GRB050401_113120.png,0,1,13,1,"[9, 7, 9, 0, 1, 2]"
GRB050406,GRB050406_113872.png,16,2,4,0,"[16, 1, 5, 0, 2, 2]"
GRB050410,GRB050410_114299.png,16,14,13,1,"[9, 22, 18, 0, 2, 3]"
GRB050412,GRB050412_114485.png,11,10,16,4,"[17, 3, 13, 0, 6, 10]"
GRB050416A,GRB050416A_114753.png,25,8,0,4,"[13, 18, 2, 0, 2, 6]"
GRB050416B,GRB050416B_114797.png,20,1,0,1,"[10, 8, 1, 0, 1, 2]"
GRB050418,GRB050418_114893.png,2,17,19,1,"[20, 12, 29, 0, 0, 1]"
GRB050421,GRB050421_115135.png,25,7,6,14,"[11, 15, 6, 0, 7, 24]"
GRB050422,GRB050422_115214.png,4,2,15,2,"[12, 0, 8, 0, 1, 6]"
GRB050502B,GRB050502B_116116.png,2,0,13,0,"[14, 4, 4, 0, 1, 1]"
GRB050505,GRB050505_117504.png,1,4,12,2,"[7, 6, 12, 0, 1, 3]"
GRB050507,GRB050507_118248.png,5,10,17,11,"[16, 6, 14, 0, 2, 14]"
GRB050509A,GRB050509A_118707.png,21,6,14,3,"[20, 12, 14, 0, 2, 5]"
GRB050509B,GRB050509B_118749.png,0,0,3,12,"[0, 0, 0, 0, 3, 15]"
GRB050525A,GRB050525A_130088.png,9,11,28,2,"[26, 14, 21, 0, 1, 3]"
GRB050528,GRB050528_130679.png,16,3,16,3,"[12, 4, 15, 0, 5, 9]"
GRB050603,GRB050603_131560.png,23,10,6,1,"[13, 24, 6, 0, 2, 3]"
GRB050607,GRB050607_132247.png,10,18,17,1,"[14, 24, 19, 0, 1, 3]"
GRB050701,GRB050701_143708.png,1,1,14,3,"[9, 7, 10, 0, 2, 5]"
GRB050712,GRB050712_145581.png,5,5,19,22,"[8, 3, 19, 0, 3, 26]"
GRB050713A,GRB050713A_145675.png,16,15,11,2,"[20, 14, 17, 0, 1, 4]"
GRB050713B,GRB050713B_145754.png,12,26,1,7,"[1, 34, 6, 0, 1, 9]"
GRB050714B,GRB050714B_145994.png,1,0,7,23,"[1, 0, 7, 0, 1, 24]"
