,Burst_Name,Burst_PNG,Simple,Extended,Other,Too_Noisy,Count,Simple_Proportion,Extended_Proportion,Other_Proportion,Too_Noisy_Proportion,Follow,95%_Verify,99%_Verify,Prop_Verify
0,GRB041217,GRB041217_100116.png,15,3,1,0,19,0.789,0.158,0.053,0.0,"[13, 5, 2, 0, 0, 0]",Simple,Simple,Simple
1,GRB041219C,GRB041219C_100380.png,16,5,2,2,25,0.64,0.2,0.08,0.08,"[9, 12, 1, 0, 2, 4]",Simple,None,None
2,GRB041220,GRB041220_100433.png,13,1,2,0,16,0.812,0.062,0.125,0.0,"[11, 5, 0, 0, 0, 0]",Simple,Simple,Simple
3,GRB041223,GRB041223_100585.png,6,15,25,3,49,0.122,0.306,0.51,0.061,"[12, 13, 38, 0, 2, 5]",Other,None,None
4,GRB041224,GRB041224_100703.png,2,5,16,0,23,0.087,0.217,0.696,0.0,"[13, 9, 14, 0, 1, 2]",Other,Other,None
5,GRB041226,GRB041226_100815.png,24,5,10,2,41,0.585,0.122,0.244,0.049,"[24, 3, 11, 0, 2, 4]",Simple,None,None
6,GRB041228,GRB041228_100970.png,9,20,19,2,50,0.18,0.4,0.38,0.04,"[9, 21, 18, 0, 3, 5]",Extended,None,None
7,GRB050117,GRB050117_102861.png,0,3,12,0,15,0.0,0.2,0.8,0.0,"[8, 3, 12, 0, 0, 0]",Other,Other,Other
8,GRB050124,GRB050124_103647.png,18,6,2,0,26,0.692,0.231,0.077,0.0,"[10, 11, 4, 0, 3, 3]",Simple,None,None
9,GRB050126,GRB050126_103780.png,15,19,9,3,46,0.326,0.413,0.196,0.065,"[6, 27, 16, 0, 3, 6]",Extended,None,None
10,GRB050128,GRB050128_103906.png,7,10,21,4,42,0.167,0.238,0.5,0.095,"[10, 5, 24, 0, 3, 8]",Other,None,None
11,GRB050202,GRB050202_104298.png,25,0,20,8,53,0.472,0.0,0.377,0.151,"[25, 4, 0, 0, 16, 25]",None,None,None
12,GRB050215A,GRB050215A_106106.png,7,20,15,13,55,0.127,0.364,0.273,0.236,"[16, 2, 20, 0, 9, 23]",Extended,None,None
13,GRB050215B,GRB050215B_106107.png,24,14,5,2,45,0.533,0.311,0.111,0.044,"[16, 21, 11, 0, 3, 5]",None,None,None
14,GRB050219A,GRB050219A_106415.png,29,4,9,2,44,0.659,0.091,0.205,0.045,"[27, 5, 15, 0, 1, 4]",Simple,None,None
15,GRB050219B,GRB050219B_106442.png,31,6,12,1,50,0.62,0.12,0.24,0.02,"[30, 6, 16, 0, 2, 3]",Simple,None,None
16,GRB050223,GRB050223_106709.png,10,12,22,5,49,0.204,0.245,0.449,0.102,"[17, 7, 23, 0, 7, 12]",None,None,None
17,GRB050306,GRB050306_107547.png,1,4,16,5,26,0.038,0.154,0.615,0.192,"[4, 5, 18, 0, 0, 5]",Other,None,None
18,GRB050315,GRB050315_111063.png,14,10,20,5,49,0.286,0.204,0.408,0.102,"[17, 16, 31, 0, 2, 7]",None,None,None
19,GRB050318,GRB050318_111529.png,1,2,14,0,17,0.059,0.118,0.824,0.0,"[7, 5, 7, 0, 1, 2]",Other,Other,Other
20,GRB050319,GRB050319_111622.png,1,4,16,2,23,0.043,0.174,0.696,0.087,"[3, 9, 13, 0, 1, 3]",Other,Other,None
21,GRB050326,GRB050326_112453.png,1,3,18,0,22,0.045,0.136,0.818,0.0,"[8, 11, 13, 0, 0, 0]",Other,Other,Other
22,GRB050401,GRB050401_113120.png,0,1,13,1,15,0.0,0.067,0.867,0.067,"[9, 7, 9, 0, 1, 2]",Other,Other,Other
23,GRB050406,GRB050406_113872.png,16,2,4,0,22,0.727,0.091,0.182,0.0,"[16, 1, 5, 0, 2, 2]",Simple,None,Simple
24,GRB050410,GRB050410_114299.png,16,14,13,1,44,0.364,0.318,0.295,0.023,"[9, 22, 18, 0, 2, 3]",None,None,None
25,GRB050412,GRB050412_114485.png,11,10,16,4,41,0.268,0.244,0.39,0.098,"[17, 3, 13, 0, 6, 10]",None,None,None
26,GRB050416A,GRB050416A_114753.png,25,8,0,4,37,0.676,0.216,0.0,0.108,"[13, 18, 2, 0, 2, 6]",Simple,None,None
27,GRB050416B,GRB050416B_114797.png,20,1,0,1,22,0.909,0.045,0.0,0.045,"[10, 8, 1, 0, 1, 2]",Simple,Simple,Simple
28,GRB050418,GRB050418_114893.png,2,17,19,1,39,0.051,0.436,0.487,0.026,"[20, 12, 29, 0, 0, 1]",Extended/Other,None,Extended/Other
29,GRB050421,GRB050421_115135.png,25,7,6,14,52,0.481,0.135,0.115,0.269,"[11, 15, 6, 0, 7, 24]",None,None,None
30,GRB050422,GRB050422_115214.png,4,2,15,2,23,0.174,0.087,0.652,0.087,"[12, 0, 8, 0, 1, 6]",Other,Other,None
31,GRB050502B,GRB050502B_116116.png,2,0,13,0,15,0.133,0.0,0.867,0.0,"[14, 4, 4, 0, 1, 1]",Other,Other,Other
32,GRB050505,GRB050505_117504.png,1,4,12,2,19,0.053,0.211,0.632,0.105,"[7, 6, 12, 0, 1, 3]",Other,None,None
33,GRB050507,GRB050507_118248.png,5,10,17,11,43,0.116,0.233,0.395,0.256,"[16, 6, 14, 0, 2, 14]",None,None,None
34,GRB050509A,GRB050509A_118707.png,21,6,14,3,44,0.477,0.136,0.318,0.068,"[20, 12, 14, 0, 2, 5]",None,None,None
35,GRB050509B,GRB050509B_118749.png,0,0,3,12,15,0.0,0.0,0.2,0.8,"[0, 0, 0, 0, 3, 15]",Too_Noisy,Too_Noisy,Too_Noisy
36,GRB050525A,GRB050525A_130088.png,9,11,28,2,50,0.18,0.22,0.56,0.04,"[26, 14, 21, 0, 1, 3]",Other,None,None
37,GRB050528,GRB050528_130679.png,16,3,16,3,38,0.421,0.079,0.421,0.079,"[12, 4, 15, 0, 5, 9]",None,None,Simple/Other
38,GRB050603,GRB050603_131560.png,23,10,6,1,40,0.575,0.25,0.15,0.025,"[13, 24, 6, 0, 2, 3]",None,None,None
39,GRB050607,GRB050607_132247.png,10,18,17,1,46,0.217,0.391,0.37,0.022,"[14, 24, 19, 0, 1, 3]",Extended,None,None
40,GRB050701,GRB050701_143708.png,1,1,14,3,19,0.053,0.053,0.737,0.158,"[9, 7, 10, 0, 2, 5]",Other,Other,Other
41,GRB050712,GRB050712_145581.png,5,5,19,22,51,0.098,0.098,0.373,0.431,"[8, 3, 19, 0, 3, 26]",Too_Noisy,None,None
42,GRB050713A,GRB050713A_145675.png,16,15,11,2,44,0.364,0.341,0.25,0.045,"[20, 14, 17, 0, 1, 4]",Extended,None,None
43,GRB050713B,GRB050713B_145754.png,12,26,1,7,46,0.261,0.565,0.022,0.152,"[1, 34, 6, 0, 1, 9]",Extended,Extended,None
44,GRB050714B,GRB050714B_145994.png,1,0,7,23,31,0.032,0.0,0.226,0.742,"[1, 0, 7, 0, 1, 24]",Too_Noisy,Too_Noisy,Too_Noisy
45,GRB050715,GRB050715_146129.png,2,3,14,3,22,0.091,0.136,0.636,0.136,"[11, 4, 10, 0, 1, 4]",Other,None,None
46,GRB050716,GRB050716_146227.png,4,15,21,5,45,0.089,0.333,0.467,0.111,"[13, 13, 27, 0, 1, 6]",None,None,None
47,GRB050717,GRB050717_146372.png,15,28,2,3,48,0.312,0.583,0.042,0.062,"[4, 37, 5, 0, 0, 3]",Extended,Extended,None
48,GRB050721,GRB050721_146970.png,19,28,1,8,56,0.339,0.5,0.018,0.143,"[4, 40, 10, 0, 1, 10]",Extended,Extended,None
49,GRB050724,GRB050724_147478.png,18,19,2,2,41,0.439,0.463,0.049,0.049,"[20, 13, 9, 0, 2, 5]",Extended,Extended,Simple/Extended
50,GRB050726,GRB050726_147788.png,12,8,18,10,48,0.25,0.167,0.375,0.208,"[10, 6, 18, 0, 5, 17]",None,None,None
51,GRB050730,GRB050730_148225.png,14,3,2,3,22,0.636,0.136,0.091,0.136,"[12, 2, 6, 0, 2, 6]",Simple,None,None
52,GRB050801,GRB050801_148522.png,22,21,1,5,49,0.449,0.429,0.02,0.102,"[6, 36, 4, 0, 0, 5]",Extended,None,Simple/Extended
53,GRB050802,GRB050802_148646.png,9,26,15,3,53,0.17,0.491,0.283,0.057,"[9, 32, 21, 0, 0, 3]",Extended,Extended,None
54,GRB050803,GRB050803_148833.png,3,19,31,2,55,0.055,0.345,0.564,0.036,"[22, 20, 35, 0, 2, 5]",Extended/Other,None,None
55,GRB050813,GRB050813_150139.png,12,0,1,1,14,0.857,0.0,0.071,0.071,"[12, 0, 0, 0, 1, 2]",Simple,Simple,Simple
56,GRB050814,GRB050814_150314.png,4,14,9,18,45,0.089,0.311,0.2,0.4,"[1, 19, 9, 0, 3, 21]",Too_Noisy,None,None
57,GRB050815,GRB050815_150532.png,11,2,1,0,14,0.786,0.143,0.071,0.0,"[10, 2, 0, 0, 2, 2]",Simple,Simple,Simple
58,GRB050819,GRB050819_151131.png,10,2,13,17,42,0.238,0.048,0.31,0.405,"[13, 0, 10, 0, 4, 23]",Too_Noisy,None,None
59,GRB050820A,GRB050820A_151207.png,1,2,14,2,19,0.053,0.105,0.737,0.105,"[12, 2, 6, 0, 0, 2]",Other,Other,Other
60,GRB050820B,GRB050820B_151334.png,3,3,13,1,20,0.15,0.15,0.65,0.05,"[13, 3, 6, 0, 1, 2]",Other,Other,None
61,GRB050822,GRB050822_151486.png,2,4,16,2,24,0.083,0.167,0.667,0.083,"[6, 13, 14, 0, 0, 2]",Other,Other,None
62,GRB050824,GRB050824_151905.png,11,2,13,20,46,0.239,0.043,0.283,0.435,"[11, 0, 8, 0, 4, 26]",Too_Noisy,None,None
63,GRB050826,GRB050826_152113.png,8,12,11,29,60,0.133,0.2,0.183,0.483,"[4, 10, 15, 0, 2, 33]",Too_Noisy,Too_Noisy,None
64,GRB050827,GRB050827_152325.png,21,6,16,2,45,0.467,0.133,0.356,0.044,"[28, 4, 18, 0, 2, 4]",None,None,None
65,GRB050904,GRB050904_153514.png,4,8,21,17,50,0.08,0.16,0.42,0.34,"[15, 3, 15, 0, 8, 27]",None,None,None
66,GRB050908,GRB050908_154112.png,14,0,1,2,17,0.824,0.0,0.059,0.118,"[13, 1, 1, 0, 0, 2]",Simple,Simple,Simple
67,GRB050911,GRB050911_154630.png,3,4,17,1,25,0.12,0.16,0.68,0.04,"[14, 12, 4, 0, 1, 2]",Other,Other,None
68,GRB050915A,GRB050915A_155242.png,5,13,18,7,43,0.116,0.302,0.419,0.163,"[6, 7, 26, 0, 1, 9]",None,None,None
69,GRB050915B,GRB050915B_155284.png,7,22,10,4,43,0.163,0.512,0.233,0.093,"[7, 26, 20, 0, 1, 5]",Extended,Extended,None
70,GRB050916,GRB050916_155408.png,4,2,17,21,44,0.091,0.045,0.386,0.477,"[8, 3, 14, 0, 1, 23]",Too_Noisy,Too_Noisy,None
71,GRB050922B,GRB050922B_156434.png,1,2,3,14,20,0.05,0.1,0.15,0.7,"[3, 2, 4, 0, 0, 14]",Too_Noisy,Too_Noisy,Too_Noisy
72,GRB050922C,GRB050922C_156467.png,11,1,0,0,12,0.917,0.083,0.0,0.0,"[10, 0, 1, 0, 0, 0]",Simple,Simple,Simple
73,GRB050925,GRB050925_156838.png,13,0,2,0,15,0.867,0.0,0.133,0.0,"[12, 1, 0, 0, 2, 2]",Simple,Simple,Simple
74,GRB051001,GRB051001_157870.png,5,4,19,21,49,0.102,0.082,0.388,0.429,"[14, 3, 15, 0, 2, 24]",Too_Noisy,None,None
75,GRB051006,GRB051006_158593.png,12,11,22,6,51,0.235,0.216,0.431,0.118,"[17, 8, 23, 0, 4, 10]",None,None,None
76,GRB051008,GRB051008_158855.png,14,7,19,4,44,0.318,0.159,0.432,0.091,"[26, 8, 20, 0, 2, 6]",None,None,None
77,GRB051016A,GRB051016A_159913.png,10,21,12,5,48,0.208,0.438,0.25,0.104,"[20, 9, 16, 0, 1, 6]",Extended,None,None
78,GRB051016B,GRB051016B_159994.png,16,1,5,1,23,0.696,0.043,0.217,0.043,"[6, 9, 9, 0, 3, 4]",Simple,None,None
79,GRB051021B,GRB051021B_160672.png,1,8,1,1,11,0.091,0.727,0.091,0.091,"[0, 9, 2, 0, 0, 1]",Extended,Extended,Extended
80,GRB051105A,GRB051105A_162580.png,14,0,3,2,19,0.737,0.0,0.158,0.105,"[11, 0, 1, 0, 5, 7]",Simple,None,Simple
81,GRB051109A,GRB051109A_163136.png,15,19,10,3,47,0.319,0.404,0.213,0.064,"[26, 10, 16, 0, 1, 4]",Extended,None,None
82,GRB051109B,GRB051109B_163170.png,17,4,5,0,26,0.654,0.154,0.192,0.0,"[16, 3, 9, 0, 3, 3]",Simple,None,None
83,GRB051111,GRB051111_163438.png,28,27,0,6,61,0.459,0.443,0.0,0.098,"[4, 50, 5, 0, 0, 6]",Extended,Extended,Simple/Extended
84,GRB051113,GRB051113_163765.png,2,4,17,3,26,0.077,0.154,0.654,0.115,"[11, 7, 9, 0, 3, 6]",Other,Other,None
85,GRB051117A,GRB051117A_164268.png,7,21,10,9,47,0.149,0.447,0.213,0.191,"[5, 21, 17, 0, 3, 13]",Extended,Extended,None
86,GRB051117B,GRB051117B_164279.png,11,7,11,15,44,0.25,0.159,0.25,0.341,"[9, 4, 17, 0, 4, 20]",None,None,None
87,GRB051210,GRB051210_171931.png,11,0,0,0,11,1.0,0.0,0.0,0.0,"[9, 2, 0, 0, 0, 0]",Simple,Simple,Simple
88,GRB051213,GRB051213_172516.png,2,6,23,19,50,0.04,0.12,0.46,0.38,"[15, 7, 13, 0, 2, 22]",Too_Noisy,None,None
89,GRB051221A,GRB051221A_173780.png,15,0,0,0,15,1.0,0.0,0.0,0.0,"[9, 5, 0, 0, 1, 1]",Simple,Simple,Simple
90,GRB051221B,GRB051221B_173904.png,2,5,11,23,41,0.049,0.122,0.268,0.561,"[4, 4, 12, 0, 3, 26]",Too_Noisy,Too_Noisy,None
91,GRB051227,GRB051227_174738.png,12,26,3,2,43,0.279,0.605,0.07,0.047,"[10, 20, 9, 0, 0, 6]",Extended,Extended,None
